,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,9.863160151824129,9.863160151824129,58.01858912837723,58.01858912837723
F2,4.2033999158274815,14.066560067651611,24.725881857808716,82.74447098618595
F3,1.1342253492403853,15.200785416891996,6.67191381906109,89.41638480524703
F4,0.9869787596877774,16.187764176579773,5.805757409928102,95.22214221517514
F5,0.2821658619565905,16.46993003853636,1.659799187979944,96.8819414031551
F6,0.09899602158698359,16.568926060123346,0.5823295387469624,97.46427094190206
F7,0.08640972207991132,16.655335782203256,0.5082924828230078,97.97256342472505
F8,0.0784893980711342,16.73382518027439,0.4617023415949071,98.43426576631997
F9,0.06178713084292225,16.795612311117313,0.3634537108407191,98.79771947716068
F10,0.0448291698176643,16.840441480934977,0.26370099892743704,99.06142047608813
F11,0.02081532673432267,16.8612568076693,0.12244309843719217,99.18386357452532
F12,0.015843082022276602,16.877099889691575,0.09319460013103884,99.27705817465636
F13,0.006763791105979997,16.883863680797553,0.039787006505764694,99.31684518116212
F14,0.0014478053252794092,16.885311486122834,0.00851650191340829,99.32536168307554
F15,0.00014399792488460156,16.885455484047718,0.0008470466169682445,99.32620872969251
F16,0.0,16.885455484047718,0.0,99.32620872969251
F17,0.0,16.885455484047718,0.0,99.32620872969251
