,0
0,0.9014608255567486
1,0.7737354192628922
2,0.24365256872745633
3,-0.36772059498839726
4,-3.199828908397178
5,-9.331193974771685
6,-10.103970445578245
7,-16.377175947871965
8,-21.138940637122317
9,-24.881135544584357
10,-46.283851502587815
11,-67.73647953812117
12,-128.9481768267653
13,-159.5829074338103
14,-193.55668920354128
15,-492.3261210110303
16,-694.1162435156853
