,0
0,0.9014608255567487
1,0.7737354192628925
2,0.243652568727456
3,-0.3677205949883977
4,-3.1998289083971763
5,-9.33119397477169
6,-10.103970445578232
7,-16.37717594787195
8,-21.13894063712231
9,-24.881135544584332
10,-46.28385150258778
11,-67.73647953812113
12,-128.94817682676523
13,-159.58290743381016
14,-193.55668920354108
15,-492.3261210110299
16,-694.1162435156848
